Size,Compression,Query1Time,Query1Size,Query1SavedTime,Query1SavedTimePercentage,Query2Time,Query2Size,Query2SavedTime,Query2SavedTimePercentage,Query3Time,Query3Size,Query3SavedTime,Query3SavedTimePercentage,Query4Time,Query4Size,Query4SavedTime,Query4SavedTimePercentage,Query5Time,Query5Size,Query5SavedTime,Query5SavedTimePercentage,Query6Time,Query6Size,Query6SavedTime,Query6SavedTimePercentage,Query7Time,Query7Size,Query7SavedTime,Query7SavedTimePercentage,Query8Time,Query8Size,Query8SavedTime,Query8SavedTimePercentage,Query9Time,Query9Size,Query9SavedTime,Query9SavedTimePercentage,TotalSavedTimePercentage
100,none,0.15298,19938,0,0,0.0303393,2,0,0,0.0031813,2,0,0,0.0014004,2,0,0,0.0038593,2,0,0,0.0014011,2,0,0,0.0014606,2,0,0,0.0012334,2,0,0,0.004279,19938,0,0,0
100,snappy,0.0374223,19938,0.1155577,75.54,0.0022417,2,0.0280976,92.61,0.0014396,2,0.0017417,54.75,0.0014409,2,-4.05E-05,-2.89,0.0014158,2,0.0024435,63.31,0.0013108,2,9.03E-05,6.44,0.0010479,2,0.0004127,28.26,0.0009288,2,0.0003046,24.7,0.0026635,19938,0.0016155,37.75,75.06
100,zlib,0.0358355,19938,0.1171445,76.58,0.0021026,2,0.0282367,93.07,0.0019932,2,0.0011881,37.35,0.0016528,2,-0.0002524,-18.02,0.0014709,2,0.0023884,61.89,0.0047812,2,-0.0033801,-241.25,0.0012307,2,0.0002299,15.74,0.0011252,2,0.0001082,8.77,0.0037164,19938,0.0005626,13.15,73.06
100,zstd,0.060971,19938,0.092009,60.14,0.0129261,2,0.0174132,57.39,0.0025778,2,0.0006035,18.97,0.002192,2,-0.0007916,-56.53,0.0021265,2,0.0017328,44.9,0.0022882,2,-0.0008871,-63.31,0.0020368,2,-0.0005762,-39.45,0.0023203,2,-0.0010869,-88.12,0.0047881,19938,-0.0005091,-11.9,53.92
1000,none,0.0119144,205338,0,0,0.0022578,2,0,0,0.0019299,2,0,0,0.0017017,2,0,0,0.0017404,1442,0,0,0.0013972,2,0,0,0.0013263,2,0,0,0.0086515,40994,0,0,0.011987,205338,0,0,0
1000,snappy,0.0110714,205338,0.000843,7.08,0.0021873,2,7.05E-05,3.12,0.0019236,2,6.30E-06,0.33,0.0017658,2,-6.41E-05,-3.77,0.0019193,1442,-0.0001789,-10.28,0.0015709,2,-0.0001737,-12.43,0.0016901,2,-0.0003638,-27.43,0.0051716,40994,0.0034799,40.22,0.0122778,205338,-0.0002908,-2.43,7.76
1000,zlib,0.0170268,205338,-0.0051124,-42.91,0.0022313,2,2.65E-05,1.17,0.0019736,2,-4.37E-05,-2.26,0.0018222,2,-0.0001205,-7.08,0.0021288,1442,-0.0003884,-22.32,0.0018431,2,-0.0004459,-31.91,0.0022051,2,-0.0008788,-66.26,0.007711,40994,0.0009405,10.87,0.0137289,205338,-0.0017419,-14.53,-18.1
1000,zstd,0.0212485,205338,-0.0093341,-78.34,0.0032835,2,-0.0010257,-45.43,0.0034663,2,-0.0015364,-79.61,0.003225,2,-0.0015233,-89.52,0.0033162,1442,-0.0015758,-90.54,0.0027819,2,-0.0013847,-99.11,0.0030329,2,-0.0017066,-128.67,0.0071069,40994,0.0015446,17.85,0.0126108,205338,-0.0006238,-5.2,-40.01
2000,none,0.0267781,417338,0,0,0.0026687,2,0,0,0.0023479,2,0,0,0.0020615,2,0,0,0.0026648,3562,0,0,0.0022562,2,0,0,0.0022386,2,0,0,0.0101338,252994,0,0,0.0156716,417338,0,0,0
2000,snappy,0.0222016,417338,0.0045765,17.09,0.0036081,2,-0.0009394,-35.2,0.0026663,2,-0.0003184,-13.56,0.0022072,2,-0.0001457,-7.07,0.0029054,3562,-0.0002406,-9.03,0.0022829,2,-2.67E-05,-1.18,0.0026565,2,-0.0004179,-18.67,0.0118116,252994,-0.0016778,-16.56,0.0148147,417338,0.0008569,5.47,2.49
2000,zlib,0.0329662,417338,-0.0061881,-23.11,0.0027967,2,-0.000128,-4.8,0.0024966,2,-0.0001487,-6.33,0.0023989,2,-0.0003374,-16.37,0.0031775,3562,-0.0005127,-19.24,0.0029849,2,-0.0007287,-32.3,0.002796,2,-0.0005574,-24.9,0.0114599,252994,-0.0013261,-13.09,0.0187683,417338,-0.0030967,-19.76,-19.49
2000,zstd,0.0326724,417338,-0.0058943,-22.01,0.0040111,2,-0.0013424,-50.3,0.0036122,2,-0.0012643,-53.85,0.0039805,2,-0.001919,-93.09,0.0048265,3562,-0.0021617,-81.12,0.0034931,2,-0.0012369,-54.82,0.0038648,2,-0.0016262,-72.64,0.0151878,252994,-0.005054,-49.87,0.0140515,417338,0.0016201,10.34,-28.25
5000,none,0.0500992,1053338,0,0,0.0040295,2,0,0,0.0037906,2,0,0,0.0035397,2,0,0,0.0051822,9922,0,0,0.0033984,2,0,0,0.0034586,2,0,0,0.0319909,888994,0,0,0.0368017,1053338,0,0,0
5000,snappy,0.0385387,1053338,0.0115605,23.08,0.0040871,2,-5.76E-05,-1.43,0.0035757,2,0.0002149,5.67,0.0032049,2,0.0003348,9.46,0.0052998,9922,-0.0001176,-2.27,0.0032451,2,0.0001533,4.51,0.0032981,2,0.0001605,4.64,0.0224483,888994,0.0095426,29.83,0.0297769,1053338,0.0070248,19.09,20.25
5000,zlib,0.0598616,1053338,-0.0097624,-19.49,0.0043408,2,-0.0003113,-7.73,0.0042812,2,-0.0004906,-12.94,0.0038614,2,-0.0003217,-9.09,0.0057001,9922,-0.0005179,-9.99,0.0041697,2,-0.0007713,-22.7,0.0042009,2,-0.0007423,-21.46,0.0400344,888994,-0.0080435,-25.14,0.0478202,1053338,-0.0110185,-29.94,-22.47
5000,zstd,0.0515125,1053338,-0.0014133,-2.82,0.0051894,2,-0.0011599,-28.79,0.0046854,2,-0.0008948,-23.61,0.0043612,2,-0.0008215,-23.21,0.0063617,9922,-0.0011795,-22.76,0.00441,2,-0.0010116,-29.77,0.0046281,2,-0.0011695,-33.81,0.0312811,888994,0.0007098,2.22,0.0363346,1053338,0.0004671,1.27,-4.55
10000,none,0.0965025,2113338,0,0,0.031114,1059788,0,0,0.0064587,212,0,0,0.0342808,1059788,0,0,0.0093637,20522,0,0,0.026293,635788,0,0,0.0067111,212,0,0,0.0637583,1948994,0,0,0.0691142,2113338,0,0,0
10000,snappy,0.0727262,2113338,0.0237763,24.64,0.0298955,1059788,0.0012185,3.92,0.0065749,212,-0.0001162,-1.8,0.0320164,1059788,0.0022644,6.61,0.0095315,20522,-0.0001678,-1.79,0.0194809,635788,0.0068121,25.91,0.0073348,212,-0.0006237,-9.29,0.0473998,1948994,0.0163585,25.66,0.0622213,2113338,0.0068929,9.97,16.42
10000,zlib,0.1089957,2113338,-0.0124932,-12.95,0.0461407,1059788,-0.0150267,-48.3,0.0063918,212,6.69E-05,1.04,0.0642516,1059788,-0.0299708,-87.43,0.021027,20522,-0.0116633,-124.56,0.0358096,635788,-0.0095166,-36.19,0.006348,212,0.0003631,5.41,0.0683037,1948994,-0.0045454,-7.13,0.0762489,2113338,-0.0071347,-10.32,-26.17
10000,zstd,0.088115,2113338,0.0083875,8.69,0.0391915,1059788,-0.0080775,-25.96,0.0076014,212,-0.0011427,-17.69,0.027265,1059788,0.0070158,20.47,0.0105607,20522,-0.001197,-12.78,0.0280944,635788,-0.0018014,-6.85,0.0072971,212,-0.000586,-8.73,0.073998,1948994,-0.0102397,-16.06,0.0725442,2113338,-0.00343,-4.96,-3.22
